Question,Options,Correct Option,CourtEasy-v1 Response,Evaluation,Comments (Optional)
" In which case was a registered society held to be an ""authority"" for the purpose of Article 12?","Options:
A. Som Prakash vs. Union of India
B. Ajay Hasia vs. Khalid Mujib
C. Sukhdev vs. Bhagatram
D. R.D. Shetty vs. International Airport Authority",B,The case in which a registered society was held to be an 'authority' for the purpose of Article 12 is B. Ajay Hasia vs. Khalid Mujib.,Correct,
 The reports of the Comptroller and Auditor General of India relating to the accounts of a State shall be submitted to the __________.,"Options:
A. Governor
B. Committee on Public Undertakings
C. Estimates Committee
D. Public Accounts Committee",A,"The reports of the Comptroller and Auditor General of India relating to the accounts of a State shall be submitted to the Governor. Therefore, the correct option is A. Governor.",Correct,
 Which of the following Article of the Constitution of India declares that the Supreme Court shall be a court of record?,"Options:
A. Article 119
B. Article 111
C. Article 129
D. Article 135",C,The correct option is C. Article 129 of the Constitution of India declares that the Supreme Court shall be a court of record. This means that the Supreme Court has the power to keep its own records and its judgments are considered as authoritative and can be cited as precedents in future cases.,Correct,
" Which article deals with the powers, privileges, and immunities of Parliament and its members?","Options:
A. 107
B. 105
C. 108
D. 102",B,"Article 105 of the Indian Constitution deals with the powers, privileges, and immunities of Parliament and its members.",Correct,
 Which Constitutional Amendment Act inserted provisions related to GST?,"Options:
A. 99
B. 100
C. 101
D. 102",C,The Constitutional Amendment Act that inserted provisions related to GST is the 101st Amendment Act.,Correct,
 Who can initiate impeachment proceedings against the President of India?,"Options:
A. Either House of Parliament
B. Supreme Court
C. Only Lok Sabha
D. Rajya Sabha",A,"Impeachment proceedings against the President of India can be initiated by either House of Parliament. Therefore, the correct answer is A. Either House of Parliament.",Correct,
" Bhartiya Nyaya Sanhita, 2023 considers force to be ""Criminal Force"":","Options:
A. When it is used unintentionally.
B. When intentionally uses force only.
C. When it is used intentionally without consent, causing injury, fear or annoyance.
D. When it is used in self-defence.",C,"The Bhartiya Nyaya Sanhita, 2023 defines ""Criminal Force"" in a specific manner. According to the provisions of the code, criminal force is considered to be the use of force that is intentional and without the consent of the other party, which results in injury, fear, or annoyance. 

Therefore, the correct option is:

C. When it is used intentionally without consent, causing injury, fear or annoyance.

This definition emphasizes the intentional aspect of the force used and the lack of consent, which are critical elements in determining whether the force qualifies as criminal.",Correct,
" According to Bhartiya Nyaya Sanhita, 2023, what is the maximum fine for making or using a document that resembles a currency note or a bank note under Section 182(1)?","Options:
A. One hundred rupees
B. Five hundred rupees
C. Three hundred rupees
D. One thousand rupees",C,"The maximum fine for making or using a document that resembles a currency note or a bank note under Section 182(1) of the Bharatiya Nyaya Sanhita (New Criminal Code), 2023, is three hundred rupees. Therefore, the correct answer is C. Three hundred rupees.",Correct,
" Rajesh, in a heated argument with Sunil, strikes him with a heavy iron rod. The blow fractures Sunil's arm, and he is unable to use it for several weeks. The medical report confirms that the fracture amounts to grievous hurt. Which of the following offenses has Rajesh committed?","Options:
A. Simple hurt under Section 323 of IPC
B. Voluntarily causing grievous hurt under Section 325 of IPC
C. Voluntarily causing hurt under Section 324 of IPC
D. Attempt to commit culpable homicide under Section 308 of IPC",,"Rajesh has committed the offense of voluntarily causing grievous hurt under Section 325 of the Indian Penal Code (IPC). Since the act of striking Sunil with a heavy iron rod resulted in a fracture, it qualifies as grievous hurt, which is specifically addressed under Section 325 IPC.",Correct,Withdrawn
" Amit, intending to cause the death of Vijay, attacks him with a knife. Vijay sustains severe injuries and dies on the spot. The investigation reveals that Amit acted with the knowledge that his actions were likely to cause death. However, there is no evidence of premeditation or intent to murder Vijay. Which of the following offenses has Amit committed?","Options:
A. Murder under Section 302 of IPC
B. Culpable homicide not amounting to murder under Section 304 of IPC
C. Causing death by negligence under Section 304A of IPC
D. Voluntarily causing grievous hurt under Section 325 of IPC",B,"Amit's actions can be analyzed under the Indian Penal Code (IPC) provisions regarding homicide. 

1. **Murder under Section 302 IPC**: This section defines murder and requires the intention to kill or cause death. Since there is no evidence of premeditation or intent to murder, this option does not apply.

2. **Culpable homicide not amounting to murder under Section 304 IPC**: This section applies when a person causes death without the intention to kill but with the knowledge that such an act is likely to cause death. Given that Amit attacked Vijay with a knife and acted with the knowledge that his actions were likely to cause death, this option is applicable.

3. **Causing death by negligence under Section 304A IPC**: This section pertains to causing death by negligence, which does not apply here as Amit's actions were intentional, not negligent.

4. **Voluntarily causing grievous hurt under Section 325 IPC**: This section deals with causing grievous hurt, which does not apply since the act resulted in death.

Based on the analysis, the correct option is **B. Culpable homicide not amounting to murder under Section 304 IPC**.",Correct,
 Punishment for rape in cases where the victim is a woman below the age of 16 or 12 is included in which section of the BNS?,"Options:
A. 64
B. 65
C. 63
D. 72",B,"The punishment for rape in cases where the victim is a woman below the age of 16 is included in Section 65 of the Bharatiya Nyaya Sanhita (New Criminal Code), 2023. For cases where the victim is below the age of 12, it is included in Section 66.",Correct,
